WithdrawalHistory(WH),RepeatHistory(RH),MaritalStatus(MS),Gender(GND),Age,StudentType(ST),EmploymentStatus(ES),Target
1,1,1,1,32,1,2,0
1,1,1,1,36,1,2,0
1,1,1,1,33,1,2,0
1,1,1,1,33,1,2,1
1,1,1,1,35,2,2,0
1,1,1,1,36,2,2,0
1,1,1,1,31,2,2,0
1,1,1,1,31,2,2,0
1,1,1,1,31,1,2,0
1,1,1,1,26,1,2,0
1,1,1,1,32,2,2,0
1,1,1,1,32,1,2,0
1,1,1,1,31,1,2,0
1,1,1,1,27,1,2,0
1,1,1,1,32,2,2,0
1,1,1,1,58,1,2,0
1,1,1,1,49,2,2,0
1,1,1,1,31,1,2,0
1,1,1,1,33,2,2,0
1,1,1,1,33,2,2,0
1,1,1,1,30,2,2,0
1,1,1,1,31,2,2,1
1,1,1,1,35,2,2,1
1,1,1,1,34,2,2,1
1,1,1,1,37,2,2,1
1,1,1,1,30,1,2,0
1,1,1,1,34,1,2,0
1,1,1,1,25,1,2,0
1,1,1,1,29,1,2,0
1,1,1,1,33,1,2,0
1,1,1,1,38,1,2,0
1,1,1,1,32,1,2,1
1,1,1,1,33,1,2,0
1,1,1,1,27,1,2,0
1,1,1,1,42,1,2,0
1,1,1,1,29,1,2,0
1,1,1,1,31,1,2,0
1,1,1,1,25,1,2,1
1,1,1,1,34,2,2,0
1,1,1,1,28,2,2,0
1,1,1,1,27,2,2,0
1,1,1,1,32,2,2,0
1,1,1,1,33,2,2,0
1,1,1,1,35,2,2,0
1,1,1,1,35,2,2,0
1,1,1,1,31,2,2,0
1,1,1,1,30,2,2,0
1,1,1,1,29,2,2,0
1,1,1,1,28,1,2,0
1,1,1,1,31,1,2,0
1,1,1,1,36,1,2,0
1,1,1,1,34,1,2,0
1,1,1,1,31,1,2,0
1,1,1,1,34,1,2,0
1,1,1,1,30,2,2,0
1,1,1,1,32,2,2,0
1,1,1,1,29,2,2,0
1,1,1,1,29,2,2,1
1,1,1,1,28,2,2,0
1,1,1,1,34,2,2,0
1,1,1,1,30,2,2,0
1,1,1,1,35,2,2,0
1,1,1,1,39,1,2,0
1,1,1,1,32,1,2,0
1,1,1,1,26,1,2,0
1,1,1,1,37,1,2,0
1,1,1,1,30,1,2,0
1,1,1,1,38,1,2,0
1,1,1,1,32,1,2,0
1,1,1,1,33,1,2,0
1,1,1,1,35,1,2,0
1,1,1,1,29,2,2,0
1,1,1,1,26,1,2,0
1,1,1,1,25,2,2,0
1,1,1,1,31,2,2,0
1,1,1,1,34,2,2,1
1,1,1,1,30,2,2,0
1,1,1,1,27,2,2,0
1,1,1,1,29,2,2,0
1,1,1,1,30,2,2,0
1,1,1,1,26,2,2,1
1,1,1,1,31,2,2,0
1,1,1,1,31,2,2,0
1,1,1,1,30,2,2,0
1,1,1,1,34,2,2,0
1,1,1,1,31,2,2,0
1,1,1,1,28,2,2,0
1,1,1,1,32,2,2,0
1,1,1,1,33,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,33,2,2,0
1,1,1,1,35,2,2,0
1,1,1,1,25,1,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,1,2,0
1,1,1,1,25,1,2,0
1,1,1,1,25,1,2,0
1,1,1,1,25,1,2,0
1,1,1,1,25,1,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,1,2,0
1,1,1,1,25,1,2,0
1,1,1,1,25,1,2,0
1,1,1,1,25,1,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,25,2,2,0
1,1,1,1,30,1,0,0
1,1,1,1,25,1,0,1
1,1,1,1,23,1,0,1
1,1,1,1,25,1,0,1
1,1,1,1,28,1,0,0
1,1,1,1,25,1,0,1
1,1,1,1,31,2,0,1
1,1,1,1,26,1,0,0
1,1,1,1,23,1,0,1
1,1,1,1,31,2,0,1
1,1,1,1,29,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,29,2,0,1
1,1,1,1,33,2,0,0
1,1,1,1,25,1,0,1
1,1,1,1,31,2,0,0
1,1,1,1,32,1,0,1
1,1,1,1,36,2,0,1
1,1,1,1,23,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,27,1,0,0
1,1,1,1,28,1,0,0
1,1,1,1,27,1,0,0
1,1,1,1,26,1,0,1
1,1,1,1,27,1,0,1
1,1,1,1,27,1,0,0
1,1,1,1,23,1,0,1
1,1,1,1,36,1,0,1
1,1,1,1,26,1,0,0
1,1,1,1,28,1,0,1
1,1,1,1,27,1,0,0
1,1,1,1,29,1,0,1
1,1,1,1,30,1,0,1
1,1,1,1,25,1,0,0
1,1,1,1,29,1,0,1
1,1,1,1,25,1,0,1
1,1,1,1,25,1,0,0
1,1,1,1,26,1,0,1
1,1,1,1,25,1,0,1
1,1,1,1,24,1,0,0
1,1,1,1,25,1,0,1
1,1,1,1,27,1,0,1
1,1,1,1,32,1,0,1
1,1,1,1,27,1,0,1
1,1,1,1,27,1,0,1
1,1,1,1,26,1,0,0
1,1,1,1,32,2,0,0
1,1,1,1,33,2,0,1
1,1,1,1,32,2,0,0
1,1,1,1,37,1,0,1
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,1
1,1,1,1,31,2,0,0
1,1,1,1,24,1,0,1
1,1,1,1,27,2,0,1
1,1,1,1,23,1,0,0
1,1,1,1,26,1,0,1
1,1,1,1,33,2,0,1
1,1,1,1,35,2,0,1
1,1,1,1,32,2,0,1
1,1,1,1,33,2,0,0
1,1,1,1,23,1,0,0
1,1,1,1,30,1,0,0
1,1,1,1,32,1,0,1
1,1,1,1,31,2,0,1
1,1,1,1,23,1,0,0
1,1,1,1,34,2,0,1
1,1,1,1,33,2,0,1
1,1,1,1,36,2,0,1
1,1,1,1,27,2,0,0
1,1,1,1,24,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,27,1,0,0
1,1,1,1,26,1,0,0
1,1,1,1,30,2,0,1
1,1,1,1,24,1,0,0
1,1,1,1,23,1,0,0
1,1,1,1,28,1,0,1
1,1,1,1,24,1,0,0
1,1,1,1,32,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,27,1,0,0
1,1,1,1,28,1,0,0
1,1,1,1,25,1,0,1
1,1,1,1,31,1,0,1
1,1,1,1,32,1,0,1
1,1,1,1,26,1,0,0
1,1,1,1,28,1,0,0
1,1,1,1,26,1,0,1
1,1,1,1,25,1,0,0
1,1,1,1,32,1,0,1
1,1,1,1,25,1,0,1
1,1,1,1,25,1,0,1
1,1,1,1,32,1,0,1
1,1,1,1,25,1,0,1
1,1,1,1,23,1,0,1
1,1,1,1,31,1,0,1
1,1,1,1,26,1,0,1
1,1,1,1,24,1,0,1
1,1,1,1,28,1,0,1
1,1,1,1,26,1,0,1
1,1,1,1,25,1,0,1
1,1,1,1,25,1,0,1
1,1,1,1,27,1,0,0
1,1,1,1,29,1,0,0
1,1,1,1,29,1,0,0
1,1,1,1,25,1,0,1
1,1,1,1,25,1,0,1
1,1,1,1,28,1,0,1
1,1,1,1,24,1,0,0
1,1,1,1,25,1,0,1
1,1,1,1,29,1,0,0
1,1,1,1,25,1,0,1
1,1,1,1,25,1,0,1
1,1,1,1,35,1,0,0
1,1,1,1,27,1,0,0
1,1,1,1,26,1,0,1
1,1,1,1,28,1,0,1
1,1,1,1,24,1,0,0
1,1,1,1,26,1,0,1
1,1,1,1,25,1,0,1
1,1,1,1,26,1,0,1
1,1,1,1,26,1,0,1
1,1,1,1,32,1,0,1
1,1,1,1,27,1,0,1
1,1,1,1,23,1,0,0
1,1,1,1,33,1,0,0
1,1,1,1,24,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,29,1,0,1
1,1,1,1,25,1,0,1
1,1,1,1,26,1,0,0
1,1,1,1,25,1,0,1
1,1,1,1,26,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,1
1,1,1,1,33,1,0,1
1,1,1,1,24,1,0,1
1,1,1,1,24,1,0,0
1,1,1,1,27,1,0,1
1,1,1,1,26,1,0,0
1,1,1,1,29,1,0,1
1,1,1,1,34,1,0,1
1,1,1,1,22,1,0,0
1,1,1,1,24,1,0,0
1,1,1,1,28,1,0,0
1,1,1,1,26,1,0,0
1,1,1,1,27,1,0,1
1,1,1,1,25,1,0,1
1,1,1,1,25,1,0,1
1,1,1,1,23,1,0,0
1,1,1,1,35,1,0,1
1,1,1,1,26,1,0,0
1,1,1,1,32,1,0,1
1,1,1,1,26,1,0,1
1,1,1,1,36,1,0,1
1,1,1,1,25,1,0,1
1,1,1,1,27,1,0,1
1,1,1,1,28,1,0,1
1,1,1,1,24,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,29,1,0,1
1,1,1,1,27,1,0,0
1,1,1,1,22,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,27,1,0,0
1,1,1,1,29,1,0,1
1,1,1,1,26,1,0,1
1,1,1,1,29,1,0,0
1,1,1,1,29,1,0,1
1,1,1,1,26,1,0,0
1,1,1,1,27,1,0,0
1,1,1,1,32,1,0,0
1,1,1,1,25,2,0,1
1,1,1,1,25,2,0,1
1,1,1,1,27,2,0,0
1,1,1,1,26,2,0,0
1,1,1,1,27,2,0,0
1,1,1,1,33,2,0,1
1,1,1,1,25,2,0,1
1,1,1,1,35,2,0,0
1,1,1,1,32,2,0,0
1,1,1,1,31,2,0,0
1,1,1,1,27,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,30,2,0,0
1,1,1,1,28,1,0,0
1,1,1,1,26,2,0,0
1,1,1,1,26,2,0,0
1,1,1,1,33,2,0,0
1,1,1,1,30,2,0,0
1,1,1,1,26,1,0,0
1,1,1,1,27,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,26,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,27,1,0,0
1,1,1,1,26,1,0,0
1,1,1,1,23,1,0,0
1,1,1,1,23,1,0,1
1,1,1,1,29,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,24,1,0,0
1,1,1,1,26,1,0,0
1,1,1,1,27,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,33,1,0,0
1,1,1,1,22,1,0,0
1,1,1,1,31,1,0,0
1,1,1,1,22,1,0,0
1,1,1,1,26,1,0,0
1,1,1,1,24,1,0,0
1,1,1,1,26,1,0,0
1,1,1,1,28,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,26,1,0,0
1,1,1,1,24,1,0,0
1,1,1,1,24,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,24,1,0,0
1,1,1,1,27,1,0,0
1,1,1,1,27,1,0,0
1,1,1,1,22,1,0,0
1,1,1,1,22,1,0,0
1,1,1,1,30,1,0,0
1,1,1,1,24,1,0,0
1,1,1,1,30,1,0,0
1,1,1,1,22,1,0,0
1,1,1,1,26,2,0,0
1,1,1,1,29,2,0,0
1,1,1,1,26,2,0,0
1,1,1,1,27,2,0,0
1,1,1,1,29,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,33,2,0,0
1,1,1,1,27,2,0,1
1,1,1,1,29,1,0,0
1,1,1,1,24,1,0,0
1,1,1,1,27,1,0,0
1,1,1,1,23,1,0,1
1,1,1,1,27,1,0,0
1,1,1,1,26,1,0,0
1,1,1,1,24,1,0,0
1,1,1,1,23,1,0,0
1,1,1,1,25,1,0,1
1,1,1,1,22,1,0,0
1,1,1,1,22,1,0,1
1,1,1,1,25,1,0,0
1,1,1,1,24,1,0,0
1,1,1,1,23,1,0,0
1,1,1,1,33,1,0,0
1,1,1,1,27,1,0,0
1,1,1,1,21,1,0,1
1,1,1,1,28,1,0,0
1,1,1,1,21,1,0,0
1,1,1,1,29,1,0,0
1,1,1,1,28,1,0,0
1,1,1,1,28,1,0,1
1,1,1,1,24,1,0,0
1,1,1,1,28,1,0,0
1,1,1,1,26,1,0,1
1,1,1,1,24,1,0,0
1,1,1,1,27,1,0,0
1,1,1,1,28,1,0,0
1,1,1,1,31,2,0,0
1,1,1,1,22,1,0,0
1,1,1,1,31,1,0,0
1,1,1,1,27,1,0,0
1,1,1,1,26,1,0,0
1,1,1,1,22,1,0,1
1,1,1,1,26,1,0,0
1,1,1,1,26,1,0,0
1,1,1,1,29,1,0,0
1,1,1,1,21,1,0,0
1,1,1,1,33,2,0,0
1,1,1,1,31,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,22,1,0,0
1,1,1,1,24,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,23,1,0,0
1,1,1,1,24,1,0,0
1,1,1,1,23,1,0,0
1,1,1,1,26,1,0,0
1,1,1,1,23,1,0,0
1,1,1,1,23,1,0,0
1,1,1,1,21,1,0,0
1,1,1,1,37,2,0,0
1,1,1,1,28,2,0,0
1,1,1,1,31,2,0,1
1,1,1,1,26,2,0,0
1,1,1,1,29,2,0,0
1,1,1,1,24,1,0,0
1,1,1,1,24,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,32,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,26,2,0,0
1,1,1,1,27,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,27,2,0,0
1,1,1,1,29,2,0,0
1,1,1,1,28,2,0,1
1,1,1,1,32,2,0,0
1,1,1,1,34,2,0,1
1,1,1,1,29,2,0,0
1,1,1,1,32,2,0,0
1,1,1,1,30,2,0,0
1,1,1,1,27,2,0,0
1,1,1,1,28,2,0,0
1,1,1,1,28,2,0,1
1,1,1,1,27,2,0,0
1,1,1,1,23,1,0,0
1,1,1,1,28,2,0,0
1,1,1,1,24,2,0,0
1,1,1,1,26,1,0,0
1,1,1,1,26,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,22,1,0,1
1,1,1,1,23,1,0,0
1,1,1,1,22,1,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,1,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,25,2,0,0
1,1,1,1,28,1,1,1
1,1,1,1,25,2,1,0
1,1,1,1,27,1,1,0
1,1,1,1,25,1,1,0
1,1,1,1,25,1,1,0
1,1,1,1,32,1,1,0
1,1,1,1,30,1,1,1
1,1,1,1,32,2,1,0
1,1,1,1,28,2,1,0
1,1,1,1,28,1,1,0
1,1,1,1,24,1,1,0
1,1,1,1,28,2,1,0
1,1,1,1,32,2,1,1
1,1,1,1,29,2,1,1
1,1,1,1,33,2,1,1
1,1,1,1,28,1,1,0
1,1,1,1,28,1,1,0
1,1,1,1,29,1,1,1
1,1,1,1,27,1,1,0
1,1,1,1,23,1,1,1
1,1,1,1,23,1,1,0
1,1,1,1,23,1,1,0
1,1,1,1,29,1,1,0
1,1,1,1,25,1,1,0
1,1,1,1,27,2,1,0
1,1,1,1,27,2,1,0
1,1,1,1,26,2,1,0
1,1,1,1,28,2,1,0
1,1,1,1,25,1,1,0
1,1,1,1,26,1,1,0
1,1,1,1,28,1,1,0
1,1,1,1,26,1,1,0
1,1,1,1,26,1,1,0
1,1,1,1,25,1,1,0
1,1,1,1,25,1,1,0
1,1,1,1,26,2,1,1
1,1,1,1,27,2,1,0
1,1,1,1,27,2,1,0
1,1,1,1,25,2,1,0
1,1,1,1,33,2,1,0
1,1,1,1,33,2,1,0
1,1,1,1,27,2,1,0
1,1,1,1,26,1,1,0
1,1,1,1,25,1,1,0
1,1,1,1,26,1,1,1
1,1,1,1,24,1,1,0
1,1,1,1,25,1,1,0
1,1,1,1,28,2,1,0
1,1,1,1,30,2,1,0
1,1,1,1,23,2,1,0
1,1,1,1,32,2,1,0
1,1,1,1,29,2,1,0
1,1,1,1,25,1,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,1,1,0
1,1,1,1,25,1,1,0
1,1,1,1,25,1,1,0
1,1,1,1,25,1,1,0
1,1,1,1,25,1,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,2,1,0
1,1,1,1,25,2,1,0
1,1,2,1,41,1,2,0
1,1,2,1,34,2,2,0
1,1,2,1,42,1,2,0
1,1,2,1,36,2,2,0
1,1,2,1,48,2,2,0
1,1,2,1,35,2,2,0
1,1,2,1,45,1,2,0
1,1,2,1,36,2,2,0
1,1,2,1,42,1,2,0
1,1,2,1,44,1,2,0
1,1,2,1,35,2,2,1
1,1,2,1,50,2,2,1
1,1,2,1,37,1,2,0
1,1,2,1,50,2,2,1
1,1,2,1,43,1,2,0
1,1,2,1,51,2,2,1
1,1,2,1,35,1,2,0
1,1,2,1,33,2,2,0
1,1,2,1,37,1,2,0
1,1,2,1,33,1,2,0
1,1,2,1,37,1,2,0
1,1,2,1,42,2,2,0
1,1,2,1,39,2,2,0
1,1,2,1,41,2,2,0
1,1,2,1,34,2,2,0
1,1,2,1,34,2,2,0
1,1,2,1,34,2,2,0
1,1,2,1,32,2,2,0
1,1,2,1,46,2,2,0
1,1,2,1,38,2,2,0
1,1,2,1,37,2,2,0
1,1,2,1,47,2,2,0
1,1,2,1,40,2,2,1
1,1,2,1,38,2,2,0
1,1,2,1,36,2,2,0
1,1,2,1,34,2,2,0
1,1,2,1,35,1,2,0
1,1,2,1,31,1,2,0
1,1,2,1,30,1,2,0
1,1,2,1,31,1,2,0
1,1,2,1,43,2,2,0
1,1,2,1,32,2,2,0
1,1,2,1,39,2,2,0
1,1,2,1,33,2,2,0
1,1,2,1,32,2,2,0
1,1,2,1,30,2,2,0
1,1,2,1,37,2,2,0
1,1,2,1,29,1,2,0
1,1,2,1,35,1,2,0
1,1,2,1,36,1,2,0
1,1,2,1,36,2,2,0
1,1,2,1,37,2,2,0
1,1,2,1,33,2,2,0
1,1,2,1,30,2,2,0
1,1,2,1,35,2,2,0
1,1,2,1,39,2,2,0
1,1,2,1,36,2,2,0
1,1,2,1,48,2,2,0
1,1,2,1,45,2,2,0
1,1,2,1,39,2,2,0
1,1,2,1,36,2,2,0
1,1,2,1,42,2,2,0
1,1,2,1,41,2,2,0
1,1,2,1,36,2,2,0
1,1,2,1,39,2,2,0
1,1,2,1,30,2,2,0
1,1,2,1,38,2,2,0
1,1,2,1,37,2,2,0
1,1,2,1,35,2,2,0
1,1,2,1,45,2,2,0
1,1,2,1,38,2,2,0
1,1,2,1,35,2,2,0
1,1,2,1,37,2,2,0
1,1,2,1,34,2,2,0
1,1,2,1,34,2,2,0
1,1,2,1,31,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,37,2,2,0
1,1,2,1,33,2,2,0
1,1,2,1,25,0,2,0
1,1,2,1,35,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
1,1,2,1,25,2,2,0
